time/s	I/mA	Ewe/V
9.470399760757573E+001	-3.0050890E-003	3.1056051E+000
9.482039760463522E+001	-3.0045160E-003	3.1082399E+000
9.496939760087116E+001	-3.0048343E-003	3.1085262E+000
9.510719759739004E+001	-3.0050252E-003	3.1063497E+000
9.540039758998319E+001	-3.0043887E-003	3.1078198E+000
9.580239757982781E+001	-3.0043253E-003	3.1066933E+000
9.613999757129932E+001	-3.0050890E-003	3.1069605E+000
9.661359755933518E+001	-3.0045798E-003	3.1029704E+000
9.723119754373329E+001	-3.0059798E-003	3.1047843E+000
9.751899753646285E+001	-3.0041342E-003	3.1070752E+000
9.850379751158471E+001	-3.0051528E-003	3.1039822E+000
9.892839750085841E+001	-3.0043253E-003	3.1041160E+000
1.001167974708369E+002	-3.0057891E-003	3.1019969E+000
1.012427974423917E+002	-3.0045798E-003	3.1014431E+000
1.020169974228338E+002	-3.0040068E-003	3.0975676E+000
1.027301974048169E+002	-3.0053435E-003	3.1019776E+000
1.033605973888916E+002	-3.0040704E-003	3.1033714E+000
1.042605973661557E+002	-3.0048981E-003	3.0998013E+000
1.047501973537874E+002	-3.0045798E-003	3.0999157E+000
1.051297973441979E+002	-3.0043253E-003	3.0982740E+000
1.057283973290760E+002	-3.0042615E-003	3.1005650E+000
1.060137973218662E+002	-3.0047072E-003	3.1041732E+000
1.069639972978621E+002	-3.0044522E-003	3.1024740E+000
1.083709972623183E+002	-3.0047705E-003	3.1028941E+000
1.093605972373189E+002	-3.0045160E-003	3.1031995E+000
1.101187972181651E+002	-3.0050252E-003	3.1035814E+000
1.105761972066102E+002	-3.0049616E-003	3.1034477E+000
1.113493971870776E+002	-3.0050890E-003	3.1023786E+000
1.118185971752246E+002	-3.0046434E-003	3.1040397E+000
1.125167971575866E+002	-3.0047072E-003	3.1031423E+000
1.132335971394787E+002	-3.0048343E-003	3.1056814E+000
1.138551971237757E+002	-3.0048343E-003	3.1036386E+000
1.142807971130242E+002	-3.0052799E-003	3.1055861E+000
1.149967970949365E+002	-3.0048343E-003	3.1039059E+000
1.154917970824317E+002	-3.0055346E-003	3.1033142E+000
1.158983970721602E+002	-3.0051528E-003	3.1054907E+000
1.164577970580285E+002	-3.0050890E-003	3.1028368E+000
1.168459970482218E+002	-3.0053435E-003	3.1031041E+000
1.171811970397539E+002	-3.0050890E-003	3.1032760E+000
1.175767970297602E+002	-3.0055980E-003	3.1033523E+000
1.181919970142189E+002	-3.0041977E-003	3.1032186E+000
1.186649970022700E+002	-3.0051528E-003	3.1034477E+000
1.192175969883101E+002	-3.0047072E-003	3.1035051E+000
1.195297969804233E+002	-3.0056618E-003	3.1029704E+000
1.200199969680398E+002	-3.0052161E-003	3.1041541E+000
1.204851969562878E+002	-3.0050890E-003	3.1044979E+000
1.207249969502300E+002	-3.0052161E-003	3.1069415E+000
1.209367969448795E+002	-3.0050890E-003	3.1116762E+000
1.211733969389024E+002	-3.0052161E-003	3.1163538E+000
1.217607969240635E+002	-3.0050252E-003	3.1140628E+000
1.221611969139485E+002	-3.0049616E-003	3.1161628E+000
1.226577969014033E+002	-3.0047705E-003	3.1121917E+000
1.232275968870090E+002	-3.0048343E-003	3.1123636E+000
1.235975968776620E+002	-3.0048981E-003	3.1144254E+000
1.240257968668448E+002	-3.0046434E-003	3.1163538E+000
1.241053968648339E+002	-3.0045160E-003	3.1315699E+000
1.242787968604534E+002	-3.0059798E-003	3.1253269E+000
1.244011968573614E+002	-3.0045798E-003	3.1279233E+000
1.245727968530264E+002	-3.0048981E-003	3.1260142E+000
1.247983968473272E+002	-3.0048343E-003	3.1258423E+000
1.249679968430428E+002	-3.0053435E-003	3.1291642E+000
1.251431968386169E+002	-3.0045160E-003	3.1338990E+000
1.253233968340646E+002	-3.0055346E-003	3.1406384E+000
1.255479968283908E+002	-3.0057891E-003	3.1334598E+000
1.256683968253492E+002	-3.0052161E-003	3.1431584E+000
1.258659968203574E+002	-3.0055980E-003	3.1317990E+000
1.263315968085954E+002	-3.0047072E-003	3.1358273E+000
1.265457968031842E+002	-3.0052161E-003	3.1425092E+000
1.268427967956814E+002	-3.0047705E-003	3.1455641E+000
1.271099967889313E+002	-3.0047072E-003	3.1411157E+000
1.273153967837425E+002	-3.0047705E-003	3.1394165E+000
1.276811967745016E+002	-3.0055980E-003	3.1373737E+000
1.279627967673878E+002	-3.0047705E-003	3.1396265E+000
1.282235967607994E+002	-3.0044522E-003	3.1335173E+000
1.285853967516596E+002	-3.0050252E-003	3.1371636E+000
1.289071967435302E+002	-3.0041977E-003	3.1374500E+000
1.292219967355777E+002	-3.0048343E-003	3.1370683E+000
1.295857967263873E+002	-3.0048343E-003	3.1369727E+000
